ID	Name	Slug	Count
2432	5S	5s	3
2445	9001	9001	0
2447	An toàn lao động	an-toan-lao-dong	1
2414	bsci	bsci	3
2416	CBAM	cbam	1
2457	CCP	ccp	1
2433	CQ	cq	1
2430	CSR	csr	2
2427	DUNS	duns	1
2468	ecova	ecova	1
2415	ecovadis	ecovadis	7
2417	esg	esg	1
2422	EUDR	eudr	1
2441	FCCA	fcca	1
2438	FMEA	fmea	1
2425	FSC	fsc	0
2462	GACC	gacc	1
2440	GlobalGAP	globalgap	1
2467	GMP	gmp	1
2420	grs	grs	2
2453	HACCP	haccp	3
2434	Halal	halal	1
2450	Hợp chuẩn	hop-chuan	1
2446	Hợp quy	hop-quy	2
2429	IATF 16949	iatf-16949	3
2424	ISO	iso	3
2465	ISO 140001	iso-140001	1
2413	iso 14001	iso-14001	6
2458	ISO 22000	iso-22000	1
2460	ISO 27001	iso-27001	3
2461	iso 27701	iso-27701	1
2405	iso 45001	iso-45001	6
2436	ISO 9001	iso-9001	5
2464	Kanban	kanban	1
2349	khách hàng BRC	khach-hang-brc	1
2410	khách hàng brc iop	khach-hang-brc-iop	2
2353	khách hàng BSCI	khach-hang-bsci	13
2351	khách hàng C-TPAT	khach-hang-c-tpat	9
2354	khách hàng CE Marking	khach-hang-ce-marking	0
2344	khách hàng chứng nhận hợp chuẩn	khach-hang-chung-nhan-hop-chuan	0
2345	khách hàng chứng nhận Kosher	khach-hang-chung-nhan-kosher	0
2411	khách hàng CSR	khach-hang-csr	1
2406	khách hàng ESG	khach-hang-esg	2
2350	khách hàng FCCA	khach-hang-fcca	0
2360	khách hàng GRS	khach-hang-grs	2
2361	khách hàng GSV	khach-hang-gsv	0
2355	khách hàng HACCP	khach-hang-haccp	1
2407	khách hàng hợp chuẩn	khach-hang-hop-chuan	3
2409	khách hàng IATF 16949	khach-hang-iatf-16949	4
2347	khách hàng ISO 13485:2016	khach-hang-iso-134852016	1
2332	khách hàng ISO 14001	khach-hang-iso-14001	14
2358	khách hàng ISO 22000	khach-hang-iso-22000	1
2348	khách hàng ISO 27001	khach-hang-iso-27001	2
2343	khách hàng ISO 45001	khach-hang-iso-45001	1
2330	khách hàng ISO 9001	khach-hang-iso-9001	26
2372	Khách hàng khác	khach-hang-khac	0
2412	khách hàng Kosher	khach-hang-kosher	1
2362	khách hàng nổi bật	khach-hang-noi-bat	3
2356	khách hàng OCS	khach-hang-ocs	1
2408	khách hàng RBA	khach-hang-rba	1
2357	khách hàng RCS	khach-hang-rcs	4
2359	khách hàng Sedex-SMETA	khach-hang-sedex-smeta	3
2352	khách hàng Wrap	khach-hang-wrap	3
2435	Kosher	kosher	1
2451	MID	mid	1
2455	OPRP	oprp	1
2452	PDCA	pdca	1
2459	PPAP	ppap	1
2456	PRP	prp	1
2439	QA	qa	1
2448	QCVN	qcvn	1
2421	R2	r2	0
2428	RBA	rba	1
2423	SA8000	sa8000	6
2419	SEDEX	sedex	1
2444	Sedex-SMETA	sedex-smeta	1
2454	SOP	sop	2
2466	SSOP	ssop	1
2426	SWOT	swot	2
2449	TCVN	tcvn	1
2443	Tiêu chuẩn nhãn hàng	tieu-chuan-nhan-hang	1
2431	Trách nhiệm xã hội	trach-nhiem-xa-hoi	1
2418	tư vấn ecovadis	tu-van-ecovadis	1
2437	VietGAP	vietgap	2
2442	Walmart	walmart	1
2463	Xuất khẩu	xuat-khau	1
