row,keyword,url,old_tieu_chuan,new_tieu_chuan
29,chứng chỉ ce marking,https://knacert.com.vn/phat-trien-ben-vung/nhung-cau-hoi-thuong-gap-ve-ce-marking/,CE MARKING,CE MARKING; ESG
41,iso 26000,https://knacert.com.vn/tin-tuc-tieu-chuan/iso-26000-la-gi-tieu-chuan-quoc-te-ve-trach-nhiem-xa-hoi/,ISO 26000:2010,ISO 26000:2010; TNXH (CSR)
43,tiêu chuẩn iso 26000,https://knacert.com.vn/tin-tuc-tieu-chuan/iso-26000-la-gi-tieu-chuan-quoc-te-ve-trach-nhiem-xa-hoi/,ISO 26000:2010,ISO 26000:2010; TNXH (CSR)
174,chứng nhận brc,https://knacert.com.vn/dich-vu/dao-tao-chung-nhan-brcifs-food/,BRC FOOD,BRC FOOD; IFS FOOD
177,halal gcc,https://knacert.com.vn/tin-tuc-tieu-chuan/tieu-chuan-halal-la-gi/,Halal GCC,Halal Jakim
189,global gap là gì,https://knacert.com.vn/tin-tuc-tieu-chuan/tieu-chuan-vietgap-va-globalgap-co-gi-giong-va-khac-nhau/,GLOBALGAP,GLOBALGAP; VietGAP
191,tiêu chuẩn global gap,https://knacert.com.vn/tin-tuc-tieu-chuan/tieu-chuan-vietgap-va-globalgap-co-gi-giong-va-khac-nhau/,GLOBALGAP,GLOBALGAP; VietGAP
198,chứng chỉ grs,https://knacert.com.vn/tin-tuc-tieu-chuan/quy-trinh-chung-nhan-grs-gom-may-buoc/,GRS,KNA CERT
200,chứng nhận grs,https://knacert.com.vn/tin-tuc-tieu-chuan/quy-trinh-chung-nhan-grs-gom-may-buoc/,GRS,KNA CERT
212,chứng nhận ecovadis,https://knacert.com.vn/tin-tuc-tieu-chuan/tron-bo-tai-lieu-danh-gia-ecovadis-doanh-nghiep-can-chuan-bi/,ECOVADIS,ECOVADIS; DISNEY ILS
213,ecovadis,https://knacert.com.vn/dich-vu/dao-tao-chung-nhan-ecovadis-xep-hang-kinh-doanh-ben-vung/,ECOVADIS,ECOVADIS; DISNEY ILS
214,ecovadis là gì,https://knacert.com.vn/tin-tuc-tieu-chuan/tieu-chuan-ecovadis-ve-xep-hang-kinh-doanh-ben-vung-la-gi/,ECOVADIS,ECOVADIS; DISNEY ILS
216,chứng nhận sedex,https://knacert.com.vn/dich-vu/sedex-la-gi-tu-van-tieu-chuan-sedex-smeta/,SEDEX SMETA,SEDEX SMETA 4 PILLAR
219,sedex là gì,https://knacert.com.vn/dich-vu/sedex-la-gi-tu-van-tieu-chuan-sedex-smeta/,SEDEX SMETA,SEDEX SMETA 4 PILLAR
220,sedex smeta,https://knacert.com.vn/dich-vu/sedex-la-gi-tu-van-tieu-chuan-sedex-smeta/,SEDEX SMETA,SEDEX SMETA 4 PILLAR
223,tiêu chuẩn sedex smeta,https://knacert.com.vn/dich-vu/sedex-la-gi-tu-van-tieu-chuan-sedex-smeta/,SEDEX SMETA,SEDEX SMETA 4 PILLAR
226,đánh giá bsci,https://knacert.com.vn/dich-vu/dao-tao-danh-gia-bsci-trach-nhiem-xa-hoi-cua-doanh-nghiep/,BSCI,BSCI; TNXH (CSR)
227,higg,https://knacert.com.vn/dich-vu/chi-so-higg-index-va-hiep-hoi-may-mac-ben-vung/,Higg,HIGG FEM
228,higg fem là gì,https://knacert.com.vn/dich-vu/danh-gia-higg-fem/,Higg,HIGG FEM
232,chứng nhận rba,https://knacert.com.vn/dich-vu/tu-van-danh-gia-eicc-rba-trach-nhiem-xa-hoi-trong-nganh-dien-tu/,RBA,RBA; TNXH (CSR)
250,chứng chỉ fcca,https://knacert.com.vn/dich-vu/danh-gia-nang-luc-cua-nha-may-fcca-theo-wal-mart/,FCCA,Walmart (TNXH - An Ninh - FCCA)
251,fcca,https://knacert.com.vn/dich-vu/danh-gia-nang-luc-cua-nha-may-fcca-theo-wal-mart/,FCCA,Walmart (TNXH - An Ninh - FCCA)
252,fcca là chứng chỉ gì,https://knacert.com.vn/dich-vu/danh-gia-nang-luc-cua-nha-may-fcca-theo-wal-mart/,FCCA,Walmart (TNXH - An Ninh - FCCA)
253,fcca là gì,https://knacert.com.vn/dich-vu/danh-gia-nang-luc-cua-nha-may-fcca-theo-wal-mart/,FCCA,Walmart (TNXH - An Ninh - FCCA)
254,tiêu chuẩn fcca,https://knacert.com.vn/dich-vu/danh-gia-nang-luc-cua-nha-may-fcca-theo-wal-mart/,FCCA,Walmart (TNXH - An Ninh - FCCA)
256,chứng nhận sa8000,https://knacert.com.vn/tin-tuc-tieu-chuan/chinh-sach-sa8000-la-gi-huong-dan-soan-thao-tham-khao-mau/,SA8000,SA8000:2014
257,sa8000,https://knacert.com.vn/dich-vu/chung-nhan-sa8000/,SA8000,SA8000:2014
258,sa8000 là gì,https://knacert.com.vn/tin-tuc-tieu-chuan/chinh-sach-sa8000-la-gi-huong-dan-soan-thao-tham-khao-mau/,SA8000,SA8000:2014
